,adaptive_search_time,adaptive_num_blocks,adaptive_solution_length,adaptive_grid_size,adaptive_execution_time,adaptive_ml_suggestions_total,adaptive_nodes_expanded,adaptive_max_frontier_size,adaptive_complexity,adaptive_ml_time,adaptive_solved,adaptive_ml_suggestions_used,astar_num_blocks,astar_solution_length,astar_grid_size,astar_execution_time,astar_nodes_expanded,astar_max_frontier_size,astar_complexity,astar_solved,hybrid_search_time,hybrid_num_blocks,hybrid_solution_length,hybrid_grid_size,hybrid_execution_time,hybrid_ml_suggestions_total,hybrid_nodes_expanded,hybrid_max_frontier_size,hybrid_complexity,hybrid_ml_time,hybrid_solved,hybrid_ml_suggestions_used
24,0.029103517532348633,7,8,49,0.03011155128479004,0,8,436,98,0,True,0,7,8,49,0.03336334228515625,8,436,98,True,0.02546405792236328,7,8,49,0.02546405792236328,0,8,436,98,0,True,0
25,0.008027791976928711,7,3,49,0.008027791976928711,0,3,104,98,0,True,0,7,3,49,0.009017229080200195,3,104,98,True,0.007543325424194336,7,3,49,0.007543325424194336,0,3,104,98,0,True,0
26,0.02346324920654297,7,7,49,0.024471282958984375,0,7,433,98,0,True,0,7,7,49,0.03465628623962402,7,433,98,True,0.03595280647277832,7,7,49,0.03595280647277832,0,7,433,98,0,True,0
27,0.06481480598449707,10,9,49,0.06481480598449707,0,9,666,140,0,True,0,10,9,49,0.0781402587890625,9,666,140,True,0.06810760498046875,10,9,49,0.06810760498046875,0,9,666,140,0,True,0
28,0.05258965492248535,10,6,49,0.05258965492248535,0,6,477,140,0,True,0,10,6,49,0.05497932434082031,6,477,140,True,0.0798490047454834,10,6,49,0.0798490047454834,0,6,477,140,0,True,0
29,0.0420682430267334,10,6,49,0.043074607849121094,0,6,565,140,0,True,0,10,6,49,0.08154606819152832,6,565,140,True,0.060239553451538086,10,6,49,0.06123971939086914,0,6,565,140,0,True,0
30,0.010457277297973633,3,8,100,0.010457277297973633,0,8,174,60,0,True,0,3,8,100,0.023029327392578125,8,174,60,True,0.005327463150024414,3,8,100,0.005327463150024414,0,8,174,60,0,True,0
31,0.006919145584106445,3,9,100,0.006919145584106445,0,9,125,60,0,True,0,3,9,100,0.006430625915527344,9,125,60,True,0.0045359134674072266,3,9,100,0.006241798400878906,0,9,125,60,0,True,0
32,0.003319978713989258,3,10,100,0.003319978713989258,0,10,77,60,0,True,0,3,10,100,0.005327939987182617,10,77,60,True,0.00532841682434082,3,10,100,0.00532841682434082,0,10,77,60,0,True,0
33,0.011719465255737305,4,7,100,0.011719465255737305,0,7,216,80,0,True,0,4,7,100,0.012693405151367188,7,216,80,True,0.00934600830078125,4,7,100,0.00934600830078125,0,7,216,80,0,True,0
34,0.02996516227722168,4,9,100,0.030347108840942383,0,9,294,80,0,True,0,4,9,100,0.025249719619750977,9,294,80,True,0.013887166976928711,4,9,100,0.013887166976928711,0,9,294,80,0,True,0
35,0.007052183151245117,4,6,100,0.007052183151245117,0,6,158,80,0,True,0,4,6,100,0.011923074722290039,6,158,80,True,0.010653257369995117,4,6,100,0.010653257369995117,0,6,158,80,0,True,0
36,0.003003835678100586,5,1,100,0.003858327865600586,0,1,56,100,0,True,0,5,1,100,0.0028901100158691406,1,56,100,True,0.00423431396484375,5,1,100,0.00423431396484375,0,1,56,100,0,True,0
37,0.01243281364440918,5,5,100,0.01243281364440918,0,6,259,100,0,True,0,5,5,100,0.01622772216796875,6,259,100,True,0.026361942291259766,5,5,100,0.026361942291259766,0,6,259,100,0,True,0
38,0.018770217895507812,5,7,100,0.018770217895507812,0,8,326,100,0,True,0,5,7,100,0.022004365921020508,8,326,100,True,0.014675140380859375,5,7,100,0.014675140380859375,0,8,326,100,0,True,0
39,0.029657602310180664,7,8,100,0.029657602310180664,0,8,568,140,0,True,0,7,8,100,0.07616734504699707,8,568,140,True,0.03428244590759277,7,8,100,0.03428244590759277,0,8,568,140,0,True,0
40,0.021608829498291016,7,7,100,0.021608829498291016,0,7,384,140,0,True,0,7,7,100,0.06183624267578125,7,384,140,True,0.02111339569091797,7,7,100,0.02111339569091797,0,7,384,140,0,True,0
41,0.010091781616210938,7,3,100,0.010091781616210938,0,3,184,140,0,True,0,7,3,100,0.05240774154663086,3,184,140,True,0.021616697311401367,7,3,100,0.021616697311401367,0,3,184,140,0,True,0
42,0.03425455093383789,10,9,100,0.03425455093383789,0,9,778,200,0,True,0,10,9,100,0.12710905075073242,9,778,200,True,0.039081573486328125,10,9,100,0.039081573486328125,0,9,778,200,0,True,0
43,0.035213470458984375,10,10,100,0.035213470458984375,0,10,664,200,0,True,0,10,10,100,0.07937288284301758,10,664,200,True,0.034256696701049805,10,10,100,0.034256696701049805,0,10,664,200,0,True,0
44,0.043253183364868164,10,11,100,0.043253183364868164,0,11,968,200,0,True,0,10,11,100,0.09523487091064453,11,968,200,True,0.04816865921020508,10,11,100,0.049176931381225586,0,11,968,200,0,True,0
